rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,illumina_plate_number,gprep_plate_number,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,area,territory,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Shannon,Simpson,julian
KCG64,KCG64,64,2022-07-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142831,o#ya,24-Jul-22,2022-07-24,summer2022,summer,cloacal goop,reivo,metro,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1807,65.76973,KCG64,441,2.6666105,0.64276325,205
KCG66,KCG66,66,2022-09-11,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142825,gaco,11-Sep-22,2022-09-11,fall2022,fall,faeces,reivo,granmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16709,65.77498,KCG66,176,1.9824558,0.66010548,254
KCG67,KCG67,67,2022-09-11,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142894,gapm,11-Sep-22,2022-09-11,fall2022,fall,cloacal swab tip,reivo,granmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16709,65.77498,KCG67,152,1.7492629,0.71289501,254
KCG68,KCG68,68,2022-09-11,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5139873,wpap,11-Sep-22,2022-09-11,fall2022,fall,cloacal swab tip,reivo,granmyran,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG68,79,3.4544827,0.93724708,254
KCG69,KCG69,69,2022-09-11,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142824,rssa,11-Sep-22,2022-09-11,fall2022,fall,faeces,reivo,granmyran,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG69,118,2.0255584,0.78729192,254
KCG70,KCG70,70,2022-09-12,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142820,gawc,12-Sep-22,2022-09-12,fall2022,fall,cloacal swab tip,reivo,spang,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.095,65.80376,KCG70,152,2.2933455,0.79102449,255
KCG71,KCG71,71,2022-09-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142883,gawy,22-Sep,2022-09-22,fall2022,fall,cloacal swab tip,managed,tjaltmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10497,65.70044,KCG71,75,2.0136946,0.61622252,265
KCG72,KCG72,72,2022-08-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142892,gayo,22-Aug-22,2022-08-22,fall2022,fall,cloacal swab tip,managed,stockholm,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.14029,65.67355,KCG72,43,0.5333931,0.16559255,234
KCG73,KCG73,73,2022-09-01,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5139752,yabw,01-Sep-22,2022-09-01,fall2022,fall,cloacal swab tip,reivo,birken,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.06624,65.78462,KCG73,178,1.6440686,0.60972975,244
KCG74,KCG74,74,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5088511,gao#,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,managed,guortestjarn,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11755,65.68187,KCG74,15,1.1342709,0.46736868,236
KCG75,KCG75,75,2022-08-19,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142818,obca,19-Aug-22,2022-08-19,fall2022,fall,cloacal swab tip,managed,tjaltmyran,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.10497,65.70044,KCG75,79,2.0837311,0.77808369,231
KCG76,KCG76,76,2022-08-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142880,mapo,22-Aug-22,2022-08-22,fall2022,fall,cloacal swab tip,managed,stapmoken,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.13864,65.64967,KCG76,76,2.6103649,0.88696922,234
