tube_label,ring_number,colour_combination,date,sample_type,area,territory,birth_year,age,breeding_status,immune_challenge_dose,immune_timing,treatment140
5133393_gwsa_2023-09-04,5133393,gwsa,2023-09-04,cloacal,managed,ostraguortes,2023,juvenile,non-breeder,96,before,F
5142279_mamo_2023-09-01,5142279,mamo,2023-09-01,cloacal,reivo,fyra,2020,adult,breeder,NA,NA,NA
5142865_papy_2023-09-05,5142865,papy,2023-09-05,cloacal,reivo,fello,NA,adult,breeder,NA,NA,NA
5042316_p#sa_2023-08-26,5042316,p#sa,2023-08-26,cloacal,reivo,take5,2023,juvenile,non-breeder,pilot,NA,NA
5142829_garw_2023-09-01,5142829,garw,2023-09-01,cloacal,reivo,fyra,2022,adult,non-breeder,NA,NA,NA
5133394_psca_2023-08-26,5133394,psca,2023-08-26,cloacal,reivo,njalla,2023,juvenile,non-breeder,NA,NA,NA
5139877_byap_2023-09-03,5139877,byap,2023-09-03,cloacal,reivo,spang,2017,adult,breeder,NA,NA,NA
5142875_ycar_2023-09-22,5142875,ycar,2023-09-22,cloacal,reivo,angel,2022,adult,non-breeder,NA,NA,NA
5042322_pssa_2023-09-22,5042322,pssa,2023-09-22,cloacal,reivo,angel,2023,juvenile,non-breeder,NA,NA,NA
5152941_sbas_2023-09-28,5152941,sbas,2023-09-28,cloacal,managed,guortesjarn,2013,adult,breeder,NA,NA,NA
5042369_wgsa_2024-09-28,5042369,wgsa,2024-09-28,cloacal,managed,guortesjarn,2023,juvenile,non-breeder,NA,NA,NA
5142736_cyao_2023-09-22,5142736,cyao,2023-09-22,cloacal,reivo,folkes,2020,adult,breeder,NA,NA,NA
5139704_lgap_2023-09-20,5139704,lgap,2023-09-20,cloacal,managed,sodraguortes,2017,adult,breeder,NA,NA,NA
5139780_aywg_2023-10-07,5139780,aywg,2023-10-07,cloacal,reivo,laxtjarn,2018,adult,breeder,NA,NA,NA
5042320_gssa_2023-09-20,5042320,gssa,2023-09-20,cloacal,managed,sakevare,2023,juvenile,non-breeder,NA,NA,NA
5133398_cosa_2023-10-07,5133398,cosa,2023-10-07,cloacal,reivo,laxtjarn,2023,juvenile,non-breeder,NA,NA,NA
5139829_arbl_2023-09-20,5139829,arbl,2023-09-20,cloacal,managed,sakevare,2016,adult,breeder,NA,NA,NA
5042371_ygsa_2023-09-28,5042371,ygsa,2023-09-28,cloacal,managed,nyaguortes,2023,juvenile,non-breeder,NA,NA,NA
5138374_bmab_2023-09-17,5138374,bmab,2023-09-17,cloacal,managed,bengt,2015,adult,breeder,NA,NA,NA
5142809_bpga_2023-10-07,5142809,bpga,2023-10-07,cloacal,reivo,laxtjarn,2022,adult,non-breeder,NA,NA,NA
5142819_gab#_2023-09-11,5142819,gab#,2023-09-11,cloacal,reivo,laxtjarn,2022,adult,non-breeder,NA,NA,NA
5133393_gwsa_2023-09-15,5133393,gwsa,2023-09-15,cloacal,managed,ostraguortes,2023,juvenile,non-breeder,96,after,F
